# Open Chinese Convert (OpenCC) Dictionary (Third-party)
# File: GovVariants.txt
# Format: key	value(s) (values separated by spaces)
# Contributors: TerryTian-tech
# License: Apache License 2.0
# Source: https://github.com/TerryTian-tech/OpenCC-Traditional-Chinese-characters-according-to-Chinese-government-standards
# Description: Convert old Chinese Glyphs to Printed Common Traditional Chinese Characters.
# Examples : 奧 → 奥; 顚 → 顛；讪 → 訕; 讫 → 訖; 驭 → 馭
# Reference: 《通用规范汉字表》(2013)
# Used in configs: t2new.json

慍	愠
慑	懾
慭	憖
懑	懣
懒	懶
戆	戇
戋	戔
戏	戲
戗	戧
战	戰
戩	戬
戱	戯
戶	户
戸	户
扑	撲
执	執
扩	擴
扪	捫
扫	掃
扬	揚
扰	擾
抚	撫
抝	拗
抟	摶
抠	摳
抡	掄
抢	搶
护	護
报	報
担	擔
拋	抛
拟	擬
拢	攏
拣	揀
拥	擁
拦	攔
拧	擰
拨	撥
择	擇
挚	摯
挛	攣
挝	撾
挞	撻
挟	挾
挠	撓
挡	擋
挤	擠
挥	揮
挦	撏
挩	捝
捞	撈
损	損
捡	撿
捣	搗
掙	挣
掳	擄
掴	摑
掷	擲
掸	撣
掺	摻
掼	摜
換	换
揷	插
揽	攬
揿	撳
搀	攙
搁	擱
搂	摟
搅	攪
搖	摇
搵	揾
摄	攝
摅	攄
摈	擯
摊	攤
撃	擊
撄	攖
撵	攆
撷	擷
撸	擼
撺	攛
擞	擻
攒	攢
敌	敵
敓	敚
敘	叙
敛	斂
敩	斆
数	數
敻	夐
斋	齋
斓	斕
斩	斬
断	斷
无	無
旣	既
旧	舊
时	時
旷	曠
旸	暘
昙	曇
昬	昏
昼	晝
昽	曨
显	顯
晉	晋
晒	曬
晓	曉
晔	曄
晕	暈
晖	暉
暂	暫
暤	皞
暧	曖
暭	皞
曁	暨
朮	术
朶	朵
机	機
杀	殺
杂	雜
权	權
条	條
来	來
杨	楊
杩	榪
极	極
构	構
枞	樅
枢	樞
枣	棗
枥	櫪
枧	梘
枨	棖
枪	槍
枫	楓
枭	梟
枴	柺
柠	檸
柵	栅
柽	檉
栁	柳
标	標
栈	棧
栉	櫛
栊	櫳
栋	棟
栌	櫨
栎	櫟
栏	欄
树	樹
样	樣
栾	欒
桠	椏
桡	橈
桢	楨
档	檔
桤	榿
桥	橋
桦	樺
桧	檜
桨	槳
桩	樁
梦	夢
梲	棁
梼	檮
梾	棶
梿	槤
检	檢
棂	欞
椟	櫝
椠	槧
椤	欏
椭	橢
楡	榆
楼	樓
榄	欖
榇	櫬
榈	櫚
榉	櫸
榲	榅
槚	檟
槛	檻
槟	檳
槠	櫧
槪	概
槹	槔
樯	檣
樱	櫻
橫	横
橹	櫓
橼	櫞
櫕	欑
欢	歡
欤	歟
欧	歐
歛	斂
歼	殲
歿	殁
殇	殤
残	殘
殒	殞
殓	殮
殚	殫
殡	殯
殴	毆
殼	殻
毀	毁
毂	轂
毕	畢
毙	斃
毡	氈
毵	毿
氇	氌
气	氣
氢	氫
氩	氬
氳	氲
氷	冰
汉	漢
汚	污
汤	湯
沄	澐
沒	没
沟	溝
沣	灃
沤	漚
沥	瀝
沦	淪
沧	滄
沨	渢
沩	潙
沪	滬
泞	濘
泷	瀧
泸	瀘
泺	濼
泻	瀉
泼	潑
泽	澤
泾	涇
洁	潔
洒	灑
洼	窪
浃	浹
浅	淺
浆	漿
浇	澆
浈	湞
浉	溮
浊	濁
测	測
浍	澮
济	濟
浏	瀏
浐	滻
浑	渾
浒	滸
浓	濃
浔	潯
浕	濜
涗	涚
涙	淚
涛	濤
涝	澇
涞	淶
涟	漣
涠	潿
涡	渦
涢	溳
涤	滌
润	潤
涧	澗
涨	漲
涩	澀
淥	渌
淨	浄
淸	清
渊	淵
渍	漬
渎	瀆
渐	漸
渑	澠
渔	漁
渗	滲
渙	涣
湾	灣
湿	濕
溁	濚
溃	潰
溅	濺
溇	漊
溈	潙
溫	温
滗	潷
滞	滯
滟	灧
滠	灄
满	滿
滢	瀅
滤	濾
滥	濫
滦	灤
滨	濱
滩	灘
滪	澦
滾	滚
漑	溉
漵	溆
潄	漱
潆	瀠
潇	瀟
潋	瀲
潍	濰
澛	瀂
澜	瀾
濑	瀨
濒	瀕
濽	灒
灏	灝
灭	滅
灯	燈
灵	靈
灶	竈
灿	燦
炀	煬
炉	爐
炜	煒
炝	熗
点	點
為	爲
炼	煉
炽	熾
烁	爍
烂	爛
烃	烴
烛	燭
烦	煩
烧	燒
烨	燁
烩	燴
烫	燙
烬	燼
热	熱
焖	燜
焘	燾
煕	熙
煥	焕
熅	煴
爭	争
爱	愛
爷	爺
牍	牘
牵	牽
牺	犧
犊	犢
状	狀
犷	獷
犸	獁
犹	猶
狈	狽
狝	獮
狞	獰
独	獨
狭	狹
狮	獅
狯	獪
狱	獄
狲	猻
猃	獫
猎	獵
猕	獼
猙	狰
猡	玀
献	獻
獭	獺
玑	璣
玙	璵
玚	瑒
玛	瑪
玮	瑋
环	環
现	現
玱	瑲
玺	璽
珑	瓏
珰	璫
珲	琿
琎	璡
琏	璉
琐	瑣
琼	瓊
瑍	𤥺
瑤	瑶
瑷	璦
璎	瓔
瓉	瓚
瓒	瓚
瓯	甌
甁	瓶
產	産
电	電
画	畫
畅	暢
畒	畝
畴	疇
疖	癤
疗	療
疟	瘧
疠	癘
疡	瘍
疬	癧
疭	瘲
疮	瘡
疯	瘋
痈	癰
痉	痙
痒	癢
痨	癆
痫	癇
痲	麻
瘅	癉
瘆	瘮
瘓	痪
瘗	瘞
瘘	瘻
瘪	癟
瘫	癱
瘾	癮
瘿	癭
癞	癩
癣	癬
癫	癲
皐	皋
皑	皚
皡	皞
皱	皺
皲	皸
盏	盞
盐	鹽
监	監
盖	蓋
盘	盤
盜	盗
盫	盦
眍	瞘
眞	真
眬	矓
睐	睞
睑	瞼
睜	睁
瞒	瞞
瞩	矚
矫	矯
矶	磯
矾	礬
矿	礦
砀	碭
码	碼
砖	磚
砗	硨
砚	硯
砜	碸
砺	礪
砻	礱
砾	礫
础	礎
硁	硜
硏	研
硕	碩
硖	硤
硗	磽
硙	磑
硚	礄
碍	礙
碛	磧
碜	磣
礼	禮
祃	禡
祎	禕
祢	禰
祯	禎
祷	禱
祸	禍
祿	禄
禅	禪
离	離
禿	秃
积	積
称	稱
秽	穢
秾	穠
稅	税
稣	穌
稳	穩
穑	穡
穷	窮
窃	竊
窍	竅
窎	窵
窜	竄
窝	窩
窥	窺
窦	竇
窭	窶
窰	窑
窽	窾
竖	竪
竞	競
笃	篤
笔	筆
笕	筧
笺	箋
笼	籠
笾	籩
筓	笄
筚	篳
筛	篩
筜	簹
筹	籌
筼	篔
简	簡
箏	筝
箓	籙
箦	簀
箧	篋
箨	籜
